number,vendor,model,URL,name,type,diameter,cornerradius,flutelength,shaftdiameter,angle,numflutes,stickout,coating,metric,notes,machine,material,plungerate,feedrate,rpm,depth,cutpower,finishallowance,3dstepover,3dfeedrate,3drpm
1001,SpeTool,W01001,,SpeTool W01001(R0.25mm),engraver,0.01969,0.0098425,0.59,0,5.1,2,1,,0,,,,3.6,10.8,18000,0.01969,,0,40,10.8,18000
1002,SpeTool,W01002,,SpeTool W01002(R0.5mm),engraver,0.03937,0.019685,0.59,0,4.2,2,1,,0,,,,6,18,18000,0.03937,,0,40,18,18000
1003,SpeTool,W01003,,SpeTool W01003(R0.75mm),engraver,0.05906,0.0295276,0.59,0,3.2,2,1,,0,,,,12,36,18000,0.05906,,0,40,36,18000
1004,SpeTool,W01004,,SpeTool W01004(R1mm),engraver,0.07874,0.0393701,0.59,0,2.2,2,1,,0,,,,18,54,18000,0.07874,,0,40,54,18000
1005,SpeTool,W01005,,SpeTool W01005(R0.25mm),engraver,0.01969,0.0098425,1.25,0,5.3,2,1.5,,0,,,,3.6,10.8,18000,0.01969,,0,40,10.8,18000
1006,SpeTool,W01006,,SpeTool W01006(R0.5mm),engraver,0.03937,0.019685,1.25,0,4.8,2,1.5,,0,,,,6,18,18000,0.03937,,0,40,18,18000
1007,SpeTool,W01007,,SpeTool W01007(R0.5mm),engraver,0.03937,0.019685,1.25,0,4.8,2,1.5,,0,,,,6,18,18000,0.03937,,0,40,18,18000
1008,SpeTool,W01008,,SpeTool W01008(R0.75mm),engraver,0.05906,0.0295276,1.25,0,4.4,2,1.5,,0,,,,12,36,18000,0.05906,,0,40,36,18000
1009,SpeTool,W01009,,SpeTool W01009(R0.75mm),engraver,0.05906,0.0295276,1.25,0,4.4,2,1.5,,0,,,,12,36,18000,0.05906,,0,40,36,18000
1010,SpeTool,W01010,,SpeTool W01010(R1mm),engraver,0.07874,0.0393701,1.25,0,3.9,2,1.5,,0,,,,18,54,18000,0.07874,,0,40,54,18000
1011,SpeTool,W01011,,SpeTool W01011(R1mm),engraver,0.07874,0.0393701,1.25,0,3.9,2,1.5,,0,,,,18,54,18000,0.07874,,0,40,54,18000
1012,SpeTool,W01012,,SpeTool W01012(R1.5mm),engraver,0.11811,0.0590551,1.25,0,3,2,1.5,,0,,,,24,72,18000,0.11811,,0,40,72,18000
1013,SpeTool,W01013,,SpeTool W01013(R1.5mm),engraver,0.11811,0.0590551,1.25,0,3,2,1.5,,0,,,,24,72,18000,0.11811,,0,40,72,18000
1014,SpeTool,W01014,,SpeTool W01014(R1/16""),engraver,0.125,0.0625,1,0,3.6,2,1.5,,0,,,,24,72,18000,0.125,,0,40,72,18000
1015,SpeTool,W01015,,SpeTool W01015(R1/32""),engraver,0.0625,0.03125,1,0,5.4,2,1.5,,0,,,,12,36,18000,0.0625,,0,40,36,18000
1016,SpeTool,W01016,,SpeTool W01016(R1/64""),engraver,0.03125,0.015625,1,0,6.3,2,1.5,,0,,,,4.8,14.4,18000,0.03125,,0,40,14.4,18000
1017,SpeTool,W01017,,SpeTool W01017(R2mm),engraver,0.15748,0.0787402,1.25,0,2.2,2,1.5,,0,,,,36,108,18000,0.15748,,0,40,108,18000
1506,spetool,W01506,,SpeTool W01506(R0.25mm),engraver,0.5,0,12.7,0,5.1,2,38.1,,1,,,,91.4,274.3,18000,0.5,,0,40,274.3,18000
1507,spetool,W01507,,SpeTool W01507(R0.25mm),engraver,0.5,0,12.7,0,5,2,38.1,,1,,,,91.4,274.3,18000,0.5,,0,40,274.3,18000
1508,spetool,W01508,,SpeTool W01508(R0.5mm),engraver,1,0,12.7,0,4.2,2,38.1,,1,,,,152.4,457.2,18000,1,,0,40,457.2,18000
1509,spetool,W01509,,SpeTool W01509(R0.75mm),engraver,1.5,0,12.7,0,3.2,2,38.1,,1,,,,304.8,914.4,18000,0.5,,2.54,40,914.4,18000
1510,spetool,W01510,,SpeTool W01510 (R1mm),engraver,2,0,12.7,0,2.2,2,38.1,,1,,,,457.2,1371.6,18000,2,,0,40,1371.6,18000
1501,spetool,W01501,,SpeTool W01501(R0.25mm),engraver,0.5,0,12.7,0,5.2,2,38.1,,1,,,,91.4,274.3,18000,0.5,,0,40,274.3,18000
1502,spetool,W01502,,SpeTool W01502(R0.5mm),engraver,1,0,12.7,0,4.7,2,38.1,,1,,,,152.4,457.2,18000,1,,0,40,457.2,18000
1503,spetool,W01503,,SpeTool W01503(R1mm),engraver,2,0,12.7,0,3.8,2,38.1,,1,,,,457.2,1371.6,18000,2,,0,40,1371.6,18000
1504,spetool,W01504,,SpeTool W01504(R1.5mm),engraver,3,0,12.7,0,2.8,2,38.1,,1,,,,609.6,1828.8,18000,3,,0,40,1828.8,18000
1505,spetool,W01505,,SpeTool W01505(R0.25mm),engraver,0.5,0,12.7,0,5.2,2,38.1,,1,,,,91.4,274.3,18000,0.5,,0,40,274.3,18000
